Metric,Value
Count,100000000
Min,0.0001
Max,10000.0000
Mean,5000.3981
Median,5000.5351
Variance,8331931.8414
StdDev,2886.5086
Histogram_Bins,20
Histogram_Bin0,4996715
Histogram_Bin1,5000932
Histogram_Bin2,4995365
Histogram_Bin3,4998517
Histogram_Bin4,4997305
Histogram_Bin5,4999028
Histogram_Bin6,5001797
Histogram_Bin7,5003826
Histogram_Bin8,4998530
Histogram_Bin9,5002476
Histogram_Bin10,5004994
Histogram_Bin11,5000117
Histogram_Bin12,5003113
Histogram_Bin13,5001471
Histogram_Bin14,4998208
Histogram_Bin15,4997020
Histogram_Bin16,4996994
Histogram_Bin17,4999552
Histogram_Bin18,5002371
Histogram_Bin19,5001669
SortTime_ms,2573.3463
PearsonCorrelation,-0.0002
MovingAverage_WindowSize,100
Outlier_Threshold,3.0000
Outlier_Count,0
Task1_BasicStats_ms,12900.4787
Task2_Histogram_ms,91.9367
Task3_Sorting_ms,2573.3463
Task4_Correlation_ms,202.6591
Task5_MovingAverage_ms,253.1843
Task6_OutlierDetection_ms,53.6262
TotalTime_ms,16293.3367
Nodes,4
